,ticker,figi,type,name,country_of_rick
413,2388,BBG000F6F1G3,shares,Bank of China (Hong Kong),HK
414,QRVO,BBG007TJF1N7,shares,Qorvo,US
415,THG,BBG000FJH8W0,shares,Hanover Insurance Group,US
416,CG,BBG000BH3F20,shares,Carlyle Group,US
417,CPAY,TCS199481068,shares,"Corpay, Inc.",US
418,ENPH,BBG001R3MNY9,shares,Enphase Energy Inc,US
419,BILL,BBG00QVJV6V4,shares,Bill.com Holdings Inc,US
420,HYLN,BBG00N9MJTZ9,shares,Hyliion Holdings Corp.,US
421,670,BBG000BP6D06,shares,China Eastern Airlines,CN
422,JOUT,BBG000HCXFS4,shares,Johnson Outdoors Inc,US
423,IPGP,BBG000DCGRL8,shares,IPG Photonics Corporation,US
424,BMI,BBG000BDGHD9,shares,Badger Meter Inc,US
425,UNFI,BBG000BXB1M5,shares,United Natural Foods,US
426,STRA,BBG000GRZDV1,shares,Strategic Education Inc,US
427,KALU,BBG000PKZDX4,shares,Kaiser Aluminum Corp,US
428,QLYS,BBG000HT5G06,shares,Qualys Inc,US
429,EEFT,BBG000BMNBY1,shares,Euronet Worldwide Inc,US
430,SKT,BBG000D2JB50,shares,Tanger,US
431,PATK,BBG000BQSBB2,shares,Patrick Industries Inc,US
432,ABIO,TCS10A0JNAB6,shares,Артген,RU
433,TECH,BBG000C15114,shares,Bio-Techne,US
434,TAK,BBG000LF8708,shares,Takeda Pharmaceutical Co Ltd,JP
435,NWLI,BBG008HNHZ07,shares,National Western Life Group In,US
